stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
246558000_2021-12-23T09-40-07_00-00_SEGOT_port_call,246558000,9197791,UNKNOWN,cargo ship,unknown,HULL,göteborg,SEGOT,2021-12-23,2021-12-23T09:40:07+00:00,,
305773000_2021-12-24T02-48-51_00-00_PLGDY_port_call,305773000,9287807,UNKNOWN,cargo ship,unknown,NOOSL,gdynia,PLGDY,2021-12-24,2021-12-24T02:48:51+00:00,,
219115000_2021-12-25T04-48-05_00-00_PLGDN_port_call,219115000,9775763,UNKNOWN,cargo ship,unknown,PLGDN LTKLP,gdansk,PLGDN,2021-12-25,2021-12-25T04:48:05+00:00,,
258933000_2021-12-26T10-15-45_00-00_LVVNT_port_call,258933000,9734848,UNKNOWN,tanker,unknown,LVVNT NOHRY,ventspils,LVVNT,2021-12-26,2021-12-26T10:15:45+00:00,,
266232000_2021-12-27T02-15-10_00-00_FIKEM_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,OULO,kemi,FIKEM,2021-12-27,2021-12-27T02:15:10+00:00,,
255805880_2021-12-27T03-20-06_00-00_PLGDN_port_call,255805880,8422034,UNKNOWN,cargo ship,unknown,RIGA,gdansk,PLGDN,2021-12-27,2021-12-27T03:20:06+00:00,,
266473000_2021-12-27T07-01-10_00-00_SEGOT_port_call,266473000,9297137,UNKNOWN,tanker,unknown,GOTEBORG,göteborg,SEGOT,2021-12-27,2021-12-27T07:01:10+00:00,,
219413000_2021-12-27T10-56-59_00-00_LVVNT_port_call,219413000,9466013,UNKNOWN,tanker,unknown,VENTSPILS LATVIA,ventspils,LVVNT,2021-12-27,2021-12-27T10:56:59+00:00,,
209659000_2021-12-27T17-46-20_00-00_PLGDY_port_call,209659000,9814014,UNKNOWN,cargo ship,unknown,GBTIL VIA NOK,gdynia,PLGDY,2021-12-27,2021-12-27T17:46:20+00:00,,
266232000_2021-12-28T15-38-07_00-00_SEHUS_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,HUSUM,husum,SEHUS,2021-12-28,2021-12-28T15:38:07+00:00,,
248698000_2021-12-29T02-31-40_00-00_LVVNT_port_call,248698000,9536428,UNKNOWN,cargo ship,unknown,LVVNT,ventspils,LVVNT,2021-12-29,2021-12-29T02:31:40+00:00,,
235060989_2021-12-29T10-09-35_00-00_FIHKO_port_call,235060989,9357602,UNKNOWN,cargo ship,unknown,LUBECK,hanko,FIHKO,2021-12-29,2021-12-29T10:09:35+00:00,,
235012220_2021-12-31T08-25-14_00-00_LVRIX_port_call,235012220,9350771,UNKNOWN,cargo ship,unknown,KARSKAER,riga,LVRIX,2021-12-31,2021-12-31T08:25:14+00:00,,
219775000_2022-01-01T13-52-15_00-00_SEGOT_port_call,219775000,9722390,UNKNOWN,tanker,unknown,SEGOT NOOSL,göteborg,SEGOT,2022-01-01,2022-01-01T13:52:15+00:00,,
305639000_2022-01-01T23-06-38_00-00_SEGOT_port_call,305639000,9582867,UNKNOWN,cargo ship,unknown,ANTWERP,göteborg,SEGOT,2022-01-01,2022-01-01T23:06:38+00:00,,
244234000_2022-01-02T05-51-04_00-00_SEGOT_port_call,244234000,9361354,UNKNOWN,cargo ship,unknown,SURTE,göteborg,SEGOT,2022-01-02,2022-01-02T05:51:04+00:00,,
212111000_2022-01-03T10-26-56_00-00_LVVNT_port_call,212111000,9384459,UNKNOWN,tanker,unknown,RUARH,ventspils,LVVNT,2022-01-03,2022-01-03T10:26:56+00:00,,
266232000_2022-01-03T18-15-52_00-00_FIKEM_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,KASKINEN,kemi,FIKEM,2022-01-03,2022-01-03T18:15:52+00:00,,
255805837_2022-01-03T18-50-05_00-00_PLGDY_port_call,255805837,9322554,UNKNOWN,cargo ship,unknown,TILBURY UK VIA NOK,gdynia,PLGDY,2022-01-03,2022-01-03T18:50:05+00:00,,
248507000_2022-01-04T08-46-33_00-00_PLGDN_port_call,248507000,9452775,UNKNOWN,tanker,unknown,DE KEL,gdansk,PLGDN,2022-01-04,2022-01-04T08:46:33+00:00,,
370863000_2022-01-04T11-20-11_00-00_LVVNT_port_call,370863000,9397781,UNKNOWN,tanker,unknown,EE PLS,ventspils,LVVNT,2022-01-04,2022-01-04T11:20:11+00:00,,
304933000_2022-01-04T23-40-54_00-00_SEGOT_port_call,304933000,9246267,UNKNOWN,cargo ship,unknown,DE NHA,göteborg,SEGOT,2022-01-04,2022-01-04T23:40:54+00:00,,
231840000_2022-01-05T08-27-16_00-00_SEGOT_port_call,231840000,8902589,UNKNOWN,cargo ship,unknown,GDANSK,göteborg,SEGOT,2022-01-05,2022-01-05T08:27:16+00:00,,
636018754_2022-01-07T15-41-52_00-00_LVVNT_port_call,636018754,9412000,UNKNOWN,tanker,unknown,LVVNT LTKLJ,ventspils,LVVNT,2022-01-07,2022-01-07T15:41:52+00:00,,
244140388_2022-01-07T20-49-44_00-00_PLGDY_port_call,244140388,9771456,UNKNOWN,cargo ship,unknown,SE GOT,gdynia,PLGDY,2022-01-07,2022-01-07T20:49:44+00:00,,
257834000_2022-01-09T03-31-44_00-00_LVRIX_port_call,257834000,9407988,UNKNOWN,tanker,unknown,FI SKV,riga,LVRIX,2022-01-09,2022-01-09T03:31:44+00:00,,
220253000_2022-01-09T13-27-15_00-00_SEGOT_port_call,220253000,9259513,UNKNOWN,cargo ship,unknown,GHENT,göteborg,SEGOT,2022-01-09,2022-01-09T13:27:15+00:00,,
212575000_2022-01-09T14-20-04_00-00_SELLA_port_call,212575000,9143788,UNKNOWN,cargo ship,unknown,FIOLU,luleå,SELLA,2022-01-09,2022-01-09T14:20:04+00:00,,
266232000_2022-01-10T08-49-07_00-00_FIOUL_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,KEMI,oulu,FIOUL,2022-01-10,2022-01-10T08:49:07+00:00,,
356037000_2022-01-11T01-36-52_00-00_LVRIX_port_call,356037000,9039250,UNKNOWN,cargo ship,unknown,LVRIX PLGDN,riga,LVRIX,2022-01-11,2022-01-11T01:36:52+00:00,,
212575000_2022-01-11T13-00-48_00-00_FIOUL_port_call,212575000,9143788,UNKNOWN,cargo ship,unknown,BEZEE,oulu,FIOUL,2022-01-11,2022-01-11T13:00:48+00:00,,
266232000_2022-01-12T02-50-32_00-00_FIKOK_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,KASKINEN,kokkola,FIKOK,2022-01-12,2022-01-12T02:50:32+00:00,,
305981000_2022-01-12T08-47-39_00-00_LVVNT_port_call,305981000,9325130,UNKNOWN,cargo ship,unknown,LVVNT,ventspils,LVVNT,2022-01-12,2022-01-12T08:47:39+00:00,,
